id,probability,prediction
0,0.020949574,0
1,0.009790978,0
2,0.040924873,0
3,0.03579952,0
4,0.044034626,0
5,0.02215716,0
6,0.018013155,0
7,0.010896051,0
8,0.00074282597,0
9,0.03367037,0
10,0.006213061,0
11,0.025165843,0
12,0.009475334,0
13,0.009536185,0
14,0.06537746,0
15,0.026044102,0
16,0.025647145,0
17,0.0007012158,0
18,0.13649704,0
19,0.07272381,0
20,0.061278064,0
21,0.0707235,0
22,0.028129142,0
23,0.010452669,0
24,0.043333102,0
25,0.012331733,0
26,0.005640844,0
27,0.08412166,0
28,0.0021947727,0
29,0.047882725,0
30,0.07623275,0
31,0.048626672,0
32,0.043791134,0
33,0.03748179,0
34,0.0018441377,0
35,0.026005903,0
36,0.013796584,0
37,0.043335896,0
38,0.008221365,0
39,0.016393756,0
40,0.03271031,0
41,0.011350873,0
42,0.22612417,0
43,0.077421404,0
44,0.023797108,0
45,0.0156749,0
46,0.015951995,0
47,0.0355283,0
48,0.0055451924,0
49,0.0066706273,0
50,0.078323916,0
51,0.007668356,0
52,0.2843331,0
53,0.04016471,0
54,0.02242679,0
55,0.053118147,0
56,0.00986155,0
57,0.017038113,0
58,0.0021458636,0
59,0.019673197,0
60,0.08091244,0
61,0.0131277805,0
62,0.00047183776,0
63,0.042810965,0
64,0.007867433,0
65,0.006337468,0
66,0.0011643781,0
67,0.0039847614,0
68,0.020681616,0
69,0.018965242,0
70,0.004292539,0
71,0.16629632,0
72,0.012299101,0
73,0.011331272,0
74,0.018291906,0
75,0.028014533,0
76,0.0030855117,0
77,0.013301789,0
78,0.023723882,0
79,0.0020034171,0
80,0.15153837,0
81,0.10207759,0
82,0.00053883955,0
83,0.03668392,0
84,0.019077161,0
85,0.0050378484,0
86,0.05216037,0
87,0.07206388,0
88,0.018822402,0
89,0.03660472,0
90,0.027226737,0
91,0.00012323301,0
92,0.0092071,0
93,0.010863671,0
94,0.013152676,0
95,0.010239175,0
96,0.049907062,0
97,0.0026109545,0
98,0.01097822,0
99,0.06342283,0
100,0.06776712,0
101,0.04209278,0
102,0.007156227,0
103,0.06986414,0
104,0.00847708,0
105,0.029437404,0
106,0.008539194,0
107,0.016536875,0
108,0.013131067,0
109,0.010938572,0
110,0.016623886,0
111,0.023857417,0
112,0.012136007,0
113,0.08811831,0
114,0.064571254,0
115,0.007560493,0
116,0.022560857,0
117,0.018011183,0
118,0.03864587,0
119,0.04180511,0
120,0.009023724,0
121,0.0013212708,0
122,0.0044909334,0
123,0.009661124,0
124,0.0018099372,0
125,0.016573394,0
126,0.11739734,0
127,0.00042319068,0
128,0.008474627,0
129,0.015524295,0
130,0.00011698425,0
131,0.08034547,0
132,0.010646483,0
133,0.010059328,0
134,0.06504182,0
135,0.013662013,0
136,0.006322238,0
137,0.015735995,0
138,0.0032742287,0
139,0.024378672,0
140,0.017455466,0
141,0.079108864,0
142,0.05532675,0
143,0.046500236,0
144,0.036222152,0
145,0.08278514,0
146,0.06274325,0
147,0.009532548,0
148,0.009316105,0
149,0.080569685,0
150,0.010755031,0
151,0.004193121,0
152,0.062568456,0
153,0.0011075636,0
154,0.08333609,0
155,0.08344863,0
156,0.0021037473,0
157,0.02055746,0
158,0.00356385,0
159,0.0031956865,0
160,0.052714124,0
161,0.017518846,0
162,0.0047152266,0
163,0.05289217,0
164,0.027447904,0
165,0.024894988,0
166,0.10490276,0
167,0.18452948,0
168,0.013100516,0
169,0.011010211,0
170,0.0020313186,0
171,0.03323352,0
172,0.04869571,0
173,0.02135521,0
174,0.044707775,0
175,0.06477343,0
176,0.043796018,0
177,0.0019720318,0
178,0.00766318,0
179,0.010748438,0
180,0.022947095,0
181,0.021055602,0
182,0.036367305,0
183,0.049963795,0
184,0.09399544,0
185,0.01079046,0
186,0.0039477013,0
187,0.038455416,0
188,0.03701212,0
189,0.017855795,0
190,0.0010709133,0
191,0.016989777,0
192,0.054053113,0
193,0.039748713,0
194,0.009288097,0
195,0.014149266,0
196,0.083765015,0
197,0.17481509,0
198,0.025322447,0
199,0.020575771,0
200,0.09815133,0
201,0.0008634177,0
202,0.0028740184,0
203,0.026491966,0
204,0.0022543385,0
205,0.0017053433,0
206,0.042832203,0
207,0.010032998,0
208,0.06712742,0
209,0.02490365,0
210,0.050230272,0
211,0.0005070633,0
212,0.009076979,0
213,0.00068271335,0
214,0.050181195,0
215,0.00077338674,0
216,0.05536911,0
217,0.18114679,0
218,0.0051401863,0
219,0.0041209967,0
220,0.06910052,0
221,0.00059022696,0
222,0.043935563,0
223,0.07638114,0
224,0.03314925,0
225,0.029273326,0
226,0.080326095,0
227,0.0033380585,0
228,0.02620368,0
229,0.013026056,0
230,0.009474062,0
231,0.03358209,0
232,0.008482853,0
233,0.005271193,0
234,0.001609145,0
235,0.023278564,0
236,0.034950957,0
237,0.058864806,0
238,0.03793256,0
239,0.013266396,0
240,0.058141023,0
241,0.001893853,0
242,0.03287297,0
243,0.0041554957,0
244,0.036108233,0
245,0.059812833,0
246,0.047327846,0
247,0.007014757,0
248,0.032284837,0
249,0.008715833,0
250,0.04151907,0
251,0.020533992,0
252,0.00018667839,0
253,0.0041102064,0
254,0.030944856,0
255,0.0095093,0
256,0.023942247,0
257,0.01897547,0
258,0.047010485,0
259,0.0038316299,0
260,0.086522296,0
261,0.016869603,0
262,0.06278092,0
263,0.006686913,0
264,0.023997808,0
265,0.15748063,0
266,0.030343916,0
267,0.023996715,0
268,0.003336466,0
269,0.036166202,0
270,0.039164986,0
271,0.105062515,0
272,0.00037342252,0
273,0.023315812,0
274,0.06281478,0
275,0.023759063,0
276,0.0040868022,0
277,0.014774979,0
278,0.0775281,0
279,0.012532339,0
280,0.024878528,0
281,0.037801825,0
282,0.003932289,0
283,0.0020534582,0
284,0.072006814,0
285,0.0060360483,0
286,0.07497876,0
287,0.007987987,0
288,0.01735198,0
289,0.040969733,0
290,0.063440844,0
291,0.015694011,0
292,0.030190822,0
293,0.034965917,0
294,0.059080616,0
295,0.04468144,0
296,0.07907017,0
297,0.003606335,0
298,0.00096747617,0
299,0.002722572,0
300,0.030255148,0
301,0.021277182,0
302,0.13743286,0
303,0.0050761052,0
304,0.0036457737,0
305,0.06389991,0
306,0.0010891135,0
307,0.0050840247,0
308,0.0072754547,0
309,0.0048511657,0
310,0.058064807,0
311,0.022064527,0
312,0.029100671,0
313,0.0021020384,0
314,0.0172555,0
315,0.09482011,0
316,0.006599121,0
317,0.08611715,0
318,0.44372392,0
319,0.025819808,0
320,0.010816556,0
321,0.02573097,0
322,0.3055287,0
323,0.035605308,0
324,0.04968533,0
325,0.07226626,0
326,0.1207109,0
327,0.017337807,0
328,0.013845875,0
329,0.01643052,0
330,0.022563742,0
331,0.020686861,0
332,0.018240238,0
333,0.53501725,0
334,0.00065215206,0
335,0.032048214,0
336,0.003118551,0
337,0.011440133,0
338,0.0004978022,0
339,0.16971633,0
340,0.22448139,0
341,0.0017998583,0
342,0.00026936588,0
343,0.023325397,0
344,0.04475526,0
345,0.09879242,0
346,0.01086815,0
347,0.047755785,0
348,0.7220445,1
349,0.031178078,0
350,0.037956666,0
351,0.008954274,0
352,0.011445051,0
353,0.017675757,0
354,0.056849606,0
355,0.25287974,0
356,0.065207385,0
357,0.015397073,0
358,0.0046586418,0
359,0.02664166,0
360,0.011306695,0
361,0.000151991,0
362,0.029554205,0
363,0.015847057,0
364,0.21903653,0
365,0.01705446,0
